"Data-base,""Código Município"",""Município"",""Código Estado"",""Estado"",""Sigla Região"",""Região"",""Valor Pagador PF "",""Quantidade de Transações Pagador PF"",""Valor Pagador PJ"",""Quantidade de Transações Pagador PJ"",""Valor Recebedor PF"",""Quantidade de Transações Recebedor PF"",""Valor Recebedor PJ"",""Quantidade de Transações Recebedor PJ"",""Quantidade Pagador Pessoa PF"",""Quantidade Pagador Pessoa PJ"",""Quantidade Recebedor Pessoa PF"",""Quantidade Recebedor Pessoa PJ"""
"202304,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",9174606.83,34121,4329181.2,3285,9075618.71,22903,3685467.66,8362,2258,152,2197,148"
"202305,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",9438150.44,47485,4688883.5,4761,10856369.15,30645,6230440.13,12071,2871,229,2915,222"
"202201,2511004,""PEDRA BRANCA"",25,""PARAÍBA"",""NE"",""NORDESTE"",1911407.74,8289,236633.82,145,1878068.73,6815,107979.96,331,805,19,874,24"
"202104,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",2200352.42,4207,590443.84,380,2205185.73,3940,811595.08,408,739,62,752,66"
"202205,4303558,""CAMARGO"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",2868973.16,7527,2549153.58,1011,2035831.61,4162,4650646.55,1848,913,95,756,93"
"202501,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",17867979.21,101102,8795464.27,8437,17797562.32,51537,9181484.77,25735,3831,293,3792,281"
"202401,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",11087848.54,59428,1638955.59,1868,10882109.67,34357,1891671.93,5130,2951,100,2858,100"
"202201,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",5892599.87,13325,2423607.92,1156,5756767.01,10590,1877635.97,2294,1446,112,1423,109"
"202206,4321451,""TEUTÔNIA"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",35424114.89,130375,36466907.94,18612,35070899.01,90700,58248999.65,49460,12912,1438,11786,1429"
"202308,2933174,""VARZEDO"",29,""BAHIA"",""NE"",""NORDESTE"",14310792.5,97358,9267350.64,3418,14042395.27,73960,5298330.13,7468,3584,109,3550,97"
"202312,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",13206873.3,72110,3450586.94,4083,13153525.3,43438,3622988.82,12056,2708,163,2615,165"
"202502,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",18614702.33,98243,9234300.26,8081,18677339.11,50821,9725489.73,24153,3859,300,3787,290"
"202108,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",3277830.41,10347,1626415.66,1179,4051809.8,9514,2661716.15,2358,1470,126,1506,127"
"202101,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",418728.73,1214,173444.03,51,510022.45,1274,44138.79,25,273,9,367,12"
"202112,4321451,""TEUTÔNIA"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",30073007.07,103906,39718741.4,14487,28558368.62,76366,43414160.13,33592,10825,1218,9996,1207"
"202408,3148301,""PAULA CÂNDIDO"",31,""MINAS GERAIS"",""SE"",""SUDESTE"",17597995.89,87594,3300319.64,3041,15652788.78,54988,3592055.22,7349,3992,200,3967,172"
"202303,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",9904435.07,34721,4862593.22,3439,10791704.11,22790,4456398.37,8454,2224,144,2196,143"
"202403,5108204,""TORIXORÉU"",51,""MATO GROSSO"",""CO"",""CENTRO-OESTE"",13189440.06,58448,3273260.03,3092,12829873.04,37434,2602231.91,8229,2225,135,2150,135"
"202105,3535101,""PALMARES PAULISTA"",35,""SÃO PAULO"",""SE"",""SUDESTE"",4394737.64,11466,693343.03,876,4375154.63,13924,627742.14,1519,1891,102,1981,117"
"202109,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",3680205.66,11902,2748118.58,1317,4224558.26,10359,3173971.84,2741,1546,134,1555,127"
"202304,2933174,""VARZEDO"",29,""BAHIA"",""NE"",""NORDESTE"",11795661.81,70187,6652753.43,2631,11538649,63198,3628160.72,6015,3215,93,3240,87"
"202410,5108204,""TORIXORÉU"",51,""MATO GROSSO"",""CO"",""CENTRO-OESTE"",17294849.18,65115,4759994.25,3956,17120693.32,41229,3178205.05,10817,2323,156,2202,136"
"202309,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",10026387.18,59496,5893631.84,5400,10898395.64,35821,7079871.81,13976,3099,235,3080,235"
"202208,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",5889924.43,26205,2036271.61,2279,5794023.16,20173,1717376.91,4751,1938,137,1904,123"
"202303,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",8021877.19,37436,2436599.79,3113,7716610.99,27692,2055972.48,6479,2280,150,2193,156"
"202205,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",8022115.62,36016,1418634.1,895,6909336.58,29997,881838.52,2535,2174,43,2183,48"
"202308,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",9234254.57,50814,2830914.95,3672,9472114.4,33624,3226816.87,8541,2536,172,2422,170"
"202205,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",25378776.61,117536,3941842.88,2895,26049552.66,102427,3290577.41,8121,8636,224,8988,203"
"202206,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",5817188.85,23015,1856072.79,1979,5501383.6,17796,1648780.57,3948,1809,128,1770,122"
"202504,5108204,""TORIXORÉU"",51,""MATO GROSSO"",""CO"",""CENTRO-OESTE"",18160247.05,69889,5401412.9,4680,18668802.42,42317,3326504.3,13029,2348,150,2295,145"
"202309,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",11157721.94,43086,4693235.68,3211,11637566.76,26872,4840530.5,9309,2438,162,2364,152"
"202308,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",50360993.75,334432,5909332.45,5965,48746381.28,230754,6181964.63,30141,14089,321,13806,276"
"202101,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",741489.24,1428,262374.38,125,778882.57,1370,182936.94,114,349,26,375,31"
"202402,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",57713774.7,410248,6344444.33,6737,54983190.18,283213,7459419.16,36612,15417,329,15001,311"
"202411,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",18467074.12,150626,1927155.98,2327,16608674.41,90574,2030081.08,11022,3861,62,3709,71"
